,0,1,2,3,4
129,spice,,,,
130,flavor,,,,
131,intensity,,,,
132,low,,,,
133,creamy,buttery,,,
134,texture,,,,
135,wine,,,,
136,worthy,lobster,,,
137,higherend,wine,california,burgundy,australia
138,bolder,,,,
139,wine,,,,
140,call,,,,
141,crab,,,,
142,cake,,,,
143,linguini,vongole,,,
144,clam,,,,
145,halibut,,,,
146,apple,,,,
147,vegetarian,lean,towards,,
148,rich,,,,
149,vegetable,,,,
150,like,corn,,,
151,pumpkin,,,,
152,squash,,,,
153,mushroom,,,,
154,chile,,,,
155,new,,,,
156,zealand,,,,
157,part,,,,
158,france,,,,
159,lean,oak,,,
160,style,,,,
161,great,raw,seafood,,
162,like,oyster,,,
163,sushi,,,,
164,sautéed,fish,pâté,,
165,chicken,,,,
166,piccata,,,,
167,vegetable,risotto,moules,,
168,crispness,minerality,,,
169,delicate,flavor,,,
170,crisp,food,,,
171,cheese,fondue,next,level,
172,texture,wine,match,,
173,acidity,,,,
174,slice,,,,
175,fat,,,,
176,palate,,,,
177,fresh,,,,
178,wide,range,,,
179,style,,,,
180,hard,pin,,,
181,perfect,,,,
182,pairing,,,,
183,chenin,,,,
184,asian,delightful,,,
185,strong,grapey,,,
186,flavour,something,,,
187,flavoured,sought,think,,
188,barbeque,,,,
189,sweeter,,,,
190,sauce,,,,
191,escargot,,,,
192,said,due,spicy,,
193,fruity,,,,
194,smoky,character,,,
195,stew,,,,
196,boeuf,,,,
197,bourguignon,,,,
198,often,blended,sauvignon,,
199,blanc,,,,
200,tart,,,,
201,white,pair,,,
202,fair,salad,,,
203,sushi,,,,
204,excellent,wine,,,
205,pair,,,,
206,food,,,,
207,inspired,northern,italian,coastal,cuisine
208,fragrant,pesto,,,
209,pasta,,,,
210,seafood,dish,basil,,
211,lemon,,,,
212,italian,,,,
213,nailed,regional,food,,
214,wine,,,,
215,pairing,,,,
216,game,,,,
217,think,local,antipasti,,
218,salumi,,,,
219,bruchetta,,,,
220,rich,stew,,,
221,fish,dish,,,
222,fare,,,,
223,oakaged,wine,,,
224,offer,,,,
225,richness,,,,
226,pair,,,,
227,succulent,light,,,
228,meat,,,,
229,grilled,fish,try,,
230,resinous,herb,,,
231,rosemary,parsley,,,
232,thyme,,,,
233,andor,,,,
234,oregano,,,,
235,dish,feature,,,
236,cilantro,,,,
237,lime,,,,
238,chance,,,,
239,pair,,,,
240,italy,,,,
241,classic,food,,,
242,wine,,,,
243,richer,darker,,,
244,meat,,,,
245,vegetable,dish,,,
246,roasted,tomato,eggplant,garlic,
247,vinified,white,table,wine,
248,dish,pair,,,
249,crispness,body,,,
250,salad,antipasti,light,seafood,
251,fit,,,,
252,great,match,,,
253,scallop,,,,
254,prawn,,,,
255,clam,,,,
256,try,,,,
257,dish,lemon,garlic,,
258,parsley,,,,
259,flavorful,white,wine,,
260,like,match,,,
261,savory,,,,
262,light,meat,,,
263,orangerosemary,,,,
264,roasted,chicken,soyglazed,salmon,
265,red,pepper,,,
266,sundried,tomato,,,
267,find,perfect,fall,,
268,harvest,,,,
269,food,,,,
270,like,roast,,,
271,turkey,,,,
272,cranberry,,,,
273,sauce,,,,
274,great,choice,,,
275,green,,,,
276,vegetable,,,,
277,wine,,,,
278,stand,,,,
279,bean,artichoke,cabbage,brussels,
280,green,spicy,,,
281,flavor,,,,
282,acidity,,,,
283,complement,,,,
284,herbcrusted,poultry,,,
285,fish,try,,,
286,delicate,,,,
287,asian,dish,,,
288,like,sushi,,,
289,great,match,,,
290,italian,fare,,,
291,pasta,bolognese,spaghetti,,
292,pomodoro,tomato,sauce,,
293,margherita,,,,
294,pizza,,,,
295,pair,,,,
296,light,dark,meat,,
297,red,wine,,,
298,pair,,,,
299,manner,,,,
300,dish,sweet,sour,salmon,
301,steak,,,,
302,beef,,,,
303,stroganoff,,,,
304,sesame,,,,
305,tempeh,,,,
306,soave,lighter,,,
307,meat,,,,
308,tofu,,,,
309,fish,,,,
310,find,home,,,
311,around,food,,,
312,flavored,citrus,,,
313,tarragon,,,,
314,aromatic,green,herb,,
315,semiaromatic,nature,,,
316,wine,,,,
317,textural,weight,,,
318,flavourful,food,,,
319,try,,,,
320,salt,,,,
321,cod,fish,soup,,
322,classic,portuguese,fare,,
323,landlocked,province,,,
324,umbria,preclude,,,
325,excellently,tuna,steaklike,,
326,seafare,,,,
327,high,intensity,,,
328,flavor,,,,
329,match,,,,
330,roasted,meat,,,
331,vegetable,,,,
332,spiced,asian,cumin,,
333,great,choice,,,
334,steaklike,,,,
335,fish,,,,
336,tuna,steak,,,
337,swordfish,,,,
338,grilled,snapper,,,
339,mahi,,,,
340,fuller,,,,
341,funky,,,,
342,alternative,pinot,,,
343,grigio,,,,
344,slight,herbal,note,,
345,bright,acidity,,,
346,seafood,,,,
347,vegetable,dish,,,
348,pasta,,,,
349,blue,cheese,brings,,
350,fruitiness,try,,,
351,burger,mikko,,,
352,kuhna,,,,
353,unlike,cabernet,,,
354,long,finish,making,,
355,great,choice,,,
356,leaner,,,,
357,red,meat,,,
358,ostrich,anyone,,,
359,wonder,,,,
360,melted,blue,cheese,,
361,regional,fare,,,
362,answer,,,,
363,grilled,fish,dish,shellfish,salt
364,cod,,,,
365,braised,rabbit,,,
366,interesting,avenue,,,
367,explore,,,,
368,rich,fruity,,,
369,pair,,,,
370,shellfish,,,,
371,think,shrimp,citrus,,
372,note,,,,
373,make,great,counterpoint,,
374,south,asian,cuisine,,
375,eg,,,,
376,thai,,,,
377,viet,,,,
378,clam,mussel,,,
379,pan,,,,
380,little,garlic,parsley,,
381,butter,,,,
382,splash,,,,
383,muscadet,,,,
384,find,wine,perfect,seafood,
385,great,wine,play,,
386,match,,,,
387,wide,variety,,,
388,food,,,,
389,afraid,experiment,,,
390,tuesday,night,,,
391,easy,drinking,,,
392,entrylevel,,,,
393,think,pizza,,,
394,bbq,,,,
395,chicken,,,,
396,penne,,,,
397,boscaiola,,,,
398,situation,,,,
399,tomato,,,,
400,sauce,creamy,bacony,,
401,mushroomy,,,,
402,goodness,,,,
403,simple,meal,work,,
404,wine,,,,
405,merlotdominant,blend,,,
406,bordeaux,,,,
407,earthy,note,,,
408,roast,turkey,,,
409,beef,,,,
410,short,rib,,,
411,rustic,ratatouille,,,
412,braised,meat,,,
413,try,,,,
414,boisterous,fruit,,,
415,chimichurri,,,,
416,full,lush,,,
417,new,world,,,
418,style,,,,
419,rack,,,,
420,lamb,,,,
421,veal,filet,,,
422,mignon,,,,
423,peppercorn,,,,
424,red,mmmmm,thing,,
425,cork,,,,
426,delicate,fish,dish,,
427,light,,,,
428,salad,super,spicy,,
429,chili,,,,
430,german,,,,
431,wine,,,,
432,pair,,,,
433,alongside,sausage,,,
434,kind,,,,
435,smoked,andouille,,,
436,found,meat,,,
437,lover,,,,
438,pizza,,,,
439,sweet,,,,
440,italian,,,,
441,flavored,fennel,,,
442,anything,,,,
443,high,tea,,,
444,cucumber,,,,
445,sandwich,lox,,,
446,cream,,,,
447,cheese,caper,,,
448,micro,,,,
449,fruit,,,,
450,tart,,,,
451,pair,,,,
452,sweeter,,,,
453,rendition,,,,
454,grape,,,,
455,flavourful,dessert,,,
456,trifle,,,,
457,fruit,,,,
458,custard,,,,
459,brandy,,,,
460,drier,,,,
461,style,,,,
462,pair,,,,
463,salad,sushi,,,
464,fresh,fruit,,,
465,asti,excellent,almond,,
466,cake,,,,
467,fortified,muscat,taste,,
468,great,cheese,nut,,
469,match,,,,
470,almond,,,,
471,charcuterie,plate,,,
472,soft,pungent,,,
473,cheese,,,,
474,seek,dish,,,
475,fat,content,,,
476,cream,,,,
477,cheese,counteract,,,
478,intense,tannin,,,
479,like,truffle,,,
480,risotto,,,,
481,butternut,,,,
482,ravioli,,,,
483,revelation,,,,
484,blend,,,,
485,barbecue,,,,
486,chicken,,,,
487,pizza,,,,
488,pulled,pork,,,
489,sandwich,,,,
490,teriyaki,,,,
491,caramelized,food,,,
492,sweetness,wine,,,
493,nerello,,,,
494,mascalese,,,,
495,lighter,meat,,,
496,poultry,,,,
497,pork,,,,
498,roasted,tomato,,,
499,red,pepper,,,
500,spice,,,,
501,like,oregano,,,
502,thyme,,,,
503,coriander,,,,
504,sage,,,,
505,american,wine,,,
506,venison,beef,,,
507,blackened,fish,bright,acidity,
508,fuller,,,,
509,body,,,,
510,place,,,,
511,cabernet,,,,
512,sauvignon,,,,
513,fino,,,,
514,style,,,,
515,sherry,,,,
516,behave,white,wine,,
517,come,,,,
518,oloroso,function,,,
519,red,amontillado,,,
520,vary,let,,,
521,salinity,,,,
522,weight,guide,,,
523,boisterous,wine,,,
524,shorter,,,,
525,finish,,,,
526,roasted,meat,,,
527,pungent,,,,
528,note,,,,
529,cuban,,,,
530,style,,,,
531,pork,,,,
532,blue,cheese,,,
533,try,,,,
534,roasted,meat,,,
535,vegetable,,,,
536,topped,flavorful,sauce,,
537,teriyaki,,,,
538,plum,,,,
539,barbecue,,,,
540,cured,meat,,,
541,game,,,,
542,roasted,fare,,,
543,spiced,dish,work,,
544,red,,,,
545,acidity,,,,
546,wine,,,,
547,deep,,,,
548,fried,seafood,,,
549,lemon,,,,
550,caper,,,,
551,veal,,,,
552,piccata,,,,
553,fresh,salad,mussel,,
554,white,garlic,sauce,,
555,offdry,wine,,,
556,make,great,pairing,,
557,spicy,,,,
558,indian,asian,cuisine,,
559,alongside,duck,,,
560,pork,,,,
561,bacon,,,,
562,shrimp,,,,
563,crab,,,,
564,versatile,,,,
565,food,,,,
566,wine,,,,
567,high,acidity,,,
568,tannin,,,,
569,pinot,,,,
570,noir,pair,,,
571,particularly,well,duck,,
572,chicken,,,,
573,pork,,,,
574,mushroom,,,,
575,rkatsitelli,,,,
576,pair,,,,
577,lebanese,,,,
578,turkish,,,,
579,iranian,,,,
580,indian,cuisine,,,
581,spiced,meat,,,
582,aromatic,rice,,,
583,lentil,bean,dip,,
584,smoked,eggplant,,,
585,producer,,,,
586,u,,,,
587,oakaged,wine,,,
588,reminiscent,style,,,
589,opt,,,,
590,meat,,,,
591,like,lobster,,,
592,crab,,,,
593,foie,,,,
594,given,wine,,,
595,aggressive,tannin,,,
596,petite,,,,
597,sirah,,,,
598,matched,fat,umami,steak,
599,grill,,,,
600,plate,,,,
601,beef,,,,
602,stroganoff,,,,
603,great,choice,,,
604,fried,appetizer,,,
605,seafood,raw,oyster,,
606,sushi,,,,
607,mediterraneanthemed,fish,dish,,
608,calamari,,,,
609,wine,,,,
610,like,pinot,,,
611,blanc,,,,
612,suited,food,,,
613,subtle,,,,
614,flavoring,,,,
615,match,,,,
616,soft,cheese,,,
617,salad,cream,,,
618,flaky,fish,,,
619,pinot,,,,
620,gris,,,,
621,work,,,,
622,white,meat,,,
623,meal,,,,
624,include,fruit,element,,
625,lemon,,,,
626,orange,,,,
627,peach,,,,
628,apricot,,,,
629,pinot,,,,
630,related,noir,,,
631,pair,similar,thing,,
632,pork,,,,
633,roast,duck,,,
634,mushroom,,,,
635,grilled,vegetable,,,
636,super,high,tannin,,
637,astringency,,,,
638,look,dish,feature,,
639,fat,,,,
640,umami,earthy,sausage,,
641,wild,mushroom,,,
642,cheese,,,,
643,match,,,,
644,high,acidity,,,
645,wine,make,versatile,wide,variety
646,vegetable,,,,
647,food,,,,
648,think,tomato,,,
649,red,pepper,,,
650,anything,,,,
651,doubt,,,,
652,green,sauvignon,blanc,,
653,make,wonderful,choice,,
654,chicken,tofu,,,
655,fish,dish,,,
656,matched,feta,chèvre,,
657,paired,asian,flavor,,
658,thai,,,,
659,vietnamese,cuisine,,,
660,meat,,,,
661,wine,,,,
662,light,,,,
663,try,,,,
664,chicken,,,,
665,turkey,,,,
666,pork,,,,
667,halibut,,,,
668,crab,,,,
669,lobster,,,,
670,haddock,,,,
671,bass,,,,
672,cod,,,,
673,salmon,,,,
674,oyster,,,,
675,w,,,,
676,mignonette,,,,
677,calamari,,,,
678,cheese,,,,
679,seek,soft,flavorful,,
680,warm,goat,,,
681,salad,,,,
682,burrata,,,,
683,mozzarella,,,,
684,di,,,,
685,caprese,gouda,,,
686,feta,parmesan,ricotta,,
687,salata,,,,
688,yogurt,,,,
689,crème,,,,
690,fraîche,,,,
691,sour,cream,,,
692,vegetable,,,,
693,inspiration,,,,
694,include,cucumber,,,
695,dill,,,,
696,salad,fried,,,
697,zucchini,,,,
698,asparagus,,,,
699,risotto,,,,
700,greek,,,,
701,pasta,,,,
702,try,,,,
703,green,pea,,,
704,arugula,,,,
705,tomato,,,,
706,artichoke,lemon,lime,,
707,bell,,,,
708,eggplant,leek,bean,,
709,spice,,,,
710,herb,,,,
711,mint,,,,
712,dill,,,,
713,cilantro,chive,rosemary,basil,
714,thyme,,,,
715,bay,,,,
716,leaf,,,,
717,caper,,,,
718,pesto,,,,
719,garlic,green,olive,,
720,unique,white,subtle,resinous,note
721,ability,,,,
722,heavily,marinated,meat,,
723,polynesian,mexican,caribbean,,
724,cuisine,,,,
725,shrimp,,,,
726,chicken,,,,
727,tofu,,,,
728,southeast,asian,cuisine,,
729,feature,,,,
730,basil,,,,
731,ginger,,,,
732,galangal,aromatic,herb,,
733,lighter,body,,,
734,notable,,,,
735,soft,tannin,,,
736,beg,,,,
737,richly,flavoured,food,,
738,roast,,,,
739,duck,,,,
740,mushroom,,,,
741,risotto,,,,
742,cured,meat,,,
743,darker,,,,
744,meat,,,,
745,exotic,spice,,,
746,bring,,,,
747,fruit,,,,
748,note,,,,
749,try,,,,
750,lamb,,,,
751,shawarma,gyro,,,
752,asian,pork,,,
753,indian,tandoori,,,
754,astringent,quality,,,
755,find,pair,,,
756,well,alongside,richly,marinated,barbecue
757,grilled,meat,,,
758,vegetable,,,,
759,bolder,,,,
760,aged,wine,pair,,
761,steak,gourmet,,,
762,burger,,,,
763,rack,,,,
764,lamb,,,,
765,style,,,,
766,match,,,,
767,baked,pasta,,,
768,tomatobased,dish,,,
769,rustic,cut,,,
770,red,meat,,,
771,game,,,,
772,earthy,,,,
773,funk,wine,think,,
774,roasted,fare,,,
775,touriga,nacional,elegant,floral,fruit
776,aroma,,,,
777,massive,tannin,,,
778,make,yearn,,,
779,thick,,,,
780,cut,,,,
781,steak,,,,
782,topped,compound,,,
783,butter,,,,
784,blue,cheese,,,
785,dry,white,wine,,
786,trebbiano,,,,
787,pair,,,,
788,italian,cheese,,,
789,seafood,,,,
790,pasta,,,,
791,pizza,,,,
792,roast,,,,
793,pesto,,,,
794,great,food,,,
795,wine,,,,
796,due,,,,
797,higher,acidity,,,
798,subtle,bitterness,,,
799,palate,,,,
800,cleanser,,,,
801,try,,,,
802,fish,taco,,,
803,lime,,,,
804,chicken,,,,
805,carnitas,,,,
806,seitan,,,,
807,steak,,,,
808,fruity,,,,
809,white,wine,,,
810,versatile,oyster,,,
811,green,salad,,,
812,bright,vinaigrette,tapa,,
813,work,,,,
814,great,aperitif,wine,,
815,marcona,almond,,,
816,proscuitto,,,,
817,savory,tart,,,
818,potatocheese,puff,,,
819,pastry,,,,
820,quiche,,,,
821,soufflés,,,,
822,fuller,style,,,
823,herbaceous,flavor,,,
824,wonder,,,,
825,grilled,light,meat,,
826,fish,dish,,,
827,highlight,green,herbal,,
828,icewine,,,,
829,pair,,,,
830,simple,fresh,dessert,,
831,think,fruit,,,
832,salad,,,,
833,drizzled,maple,syrup,,
834,panna,,,,
835,cotta,,,,
836,wine,,,,
837,best,,,,
838,paired,delicate,,,
839,meat,,,,
840,scallop,,,,
841,flavored,stewed,fruit,,
842,almond,,,,
843,citrus,,,,
844,aromatic,herb,,,
845,thai,,,,
846,basil,,,,
847,tarragon,,,,
848,younger,wine,,,
849,pair,,,,
850,southeast,asian,coconut,,
851,curry,,,,
852,viet,vermicelli,,,
853,noodle,bowl,,,
854,roast,meat,,,
855,resinous,herb,,,
856,excellent,food,,,
857,wine,,,,
858,cheesy,,,,
859,pasta,,,,
860,mushroom,,,,
861,risotto,,,,
862,roast,,,,
863,chicken,,,,
864,pork,,,,
865,dryaged,steak,,,
866,tannin,,,,
867,help,,,,
868,cleanse,,,,
869,palate,,,,
870,ultimate,picnic,,,
871,driest,,,,
872,piece,,,,
873,make,storebought,macaroni,,
874,salad,taste,,,
875,pair,,,,
876,white,meat,,,
877,fish,,,,
878,herbed,savoury,,,
879,sauce,,,,
880,herbal,note,,,
